awr_date,awr_real
2023-09-30,69.9
2023-06-30,71.9
2023-03-31,73.6
2022-12-31,57.0
2022-09-30,61.4
2022-06-30,55.8
2022-03-31,49.4
2021-12-31,52.9
2021-09-30,61.6
2021-06-30,57.1
2021-03-31,51.8
2020-12-31,54.7
2020-09-30,58.8
2020-06-30,52.7
2020-03-31,47.4
2019-12-31,48.9
2019-09-30,57.7
2019-06-30,53.6
2019-03-31,43.6
2018-12-31,47.3
2018-09-30,52.5
2018-06-30,45.0
2018-03-31,39.8
2017-12-31,43.4
2017-09-30,51.6
2017-06-30,46.7
2017-03-31,40.8
2016-12-31,43.9
2016-09-30,50.6
2016-06-30,45.4
2016-03-31,38.0
2015-12-31,44.3
2015-09-30,53.2
2015-06-30,45.9
2015-03-31,40.2
2014-12-31,43.6
2014-09-30,54.2
2014-06-30,45.3
2014-03-31,39.7
2013-12-31,42.7
2013-09-30,50.4
2013-06-30,46.3
2013-03-31,42.3
2012-12-31,42.5
2012-09-30,50.5
2012-06-30,43.3
2012-03-31,39.9
2011-12-31,35.7
2011-09-30,44.4
2011-06-30,40.0
2011-03-31,33.7
2010-12-31,37.2
2010-09-30,38.6
2010-06-30,32.4
2010-03-31,29.5
2009-12-31,27.6
2009-09-30,32.4
2009-06-30,29.8
2009-03-31,25.7
